gender,income
M,4222.875989808414
F,2105.7758507852113
M,3054.6973973024465
F,3055.852318249375
M,3240.5046158683567
M,3111.9420121395656
F,2493.084619959851
F,3263.7389760742317
F,3619.5592494477
F,2554.8645758241364
M,3796.5933133196986
F,3281.3537908470803
M,2505.1975898707096
M,2937.106539950176
F,2531.925273161657
M,3547.0957592354744
M,2153.7676851425904
M,3764.7751597303068
M,2920.996050710505
F,2392.8809739583485
F,2686.1260450452874
F,2793.685893014608
F,3320.200197125631
M,3036.658983594202
M,2355.019550129473
F,2614.4044623097966
F,2680.2145161390267
F,2969.9277968666415
M,2870.2043243181975
F,2852.9638984736202
F,2766.5808832852226
F,2896.9805056032596
M,1651.5566785292142
M,2972.852566741094
M,2884.532734895661
M,3348.103182406709
M,3924.4780474726726
M,3563.2825147738786
M,2865.5556547225847
M,2446.7370456291646
F,3268.2016991959417
F,2471.7014825002093
M,3006.9646459564733
M,2987.937456444998
F,2479.1107822876115
M,2927.8197940380287
M,2713.1689965598816
M,2726.5705293798037
F,3319.0020805320246
F,3418.3510692382088
F,2454.8845238062454
F,2544.919376025606
F,2814.346156289962
M,3751.9964942913443
F,2963.4177090691323
M,3545.7534259612307
M,3623.0425962488143
F,2380.6811021846183
F,2148.272308794189
M,2814.279567002104
M,2296.2441526410894
M,2611.0916562045622
F,2492.9554803855312
F,2789.5151806555596
F,2693.4308415708992
F,3175.357309379234
F,3710.7729703494488
M,2435.4741143913852
F,2504.224222992711
M,3244.687280613959
M,2388.9360955540274
M,3356.499215086194
F,2933.5712741303855
F,2556.283163685176
F,2936.2619322769237
M,3222.13165574302
M,2819.51691709046
M,3579.664901682124
M,2459.4683362000515
M,3307.967803472132
M,3296.550628984192
F,2959.483955035857
F,2633.152767873258
F,2758.685474573329
F,3182.6035866033426
M,2907.5489317785054
M,2738.63848974048
F,2542.6644750690557
M,2647.8281547286206
F,3211.3807450429194
F,2776.439627207961
F,2718.5746192624597
M,2359.7853237518584
F,2998.501426410888
F,2958.1936724564302
F,3565.3018893221843
M,3105.5087336013094
M,2951.6434440648036
F,2799.753473484302
M,3199.5680571760354
M,2981.182648787576
M,3551.650941008261
M,3057.1138243310197
M,3075.1508807309388
M,2818.193893893072
M,2971.5271881394665
M,3153.9008844460295
M,2144.915803671687
M,2325.9072889471436
F,2419.9516740243307
F,3178.018651569937
M,2908.0083318236602
F,2476.431261091365
F,2850.8847500258084
M,2730.120159845319
M,2610.8476372988434
M,3097.922627548841
F,3452.462827776236
F,2120.7944398335026
M,2148.7081978810797
M,3514.5778186628218
M,3236.2987412065213
F,2291.506873147715
F,2983.3425789197413
F,2797.5202855084794
F,2474.3685477053086
M,2079.5628843341774
M,2360.211516632149
M,2687.5907111521606
M,3013.045525105417
F,3438.6547984190665
F,2271.966093469539
M,3093.383382238539
M,2622.3085338233386
F,2681.765593457801
M,2296.669451575889
F,2603.505576857468
M,2324.157697191833
M,2512.063373511334
M,3526.82089830392
M,2525.3005555840286
M,4316.191032418696
M,3246.6589504404446
M,3092.418061847437
F,2927.9069120928816
F,2879.083424006926
F,2957.0891039470175
F,3231.6610120529726
F,2778.6084678805883
M,2951.970050137675
M,3574.6366631428377
F,3276.046886179789
M,2982.5057547515194
F,3420.3761731643262
F,2683.9368197422627
M,3906.2242789984643
M,3353.8759677277376
M,2718.766612052866
F,3036.2574195954894
M,3486.277224813365
F,2521.5266267140883
F,1944.1837076217876
F,2519.077472300369
M,2876.2406822242474
M,2962.783285449977
F,3004.165862457719
M,3088.8505004666267
M,2332.3278206449495
M,3190.0989255029817
F,2680.915457543208
F,2698.5589843637727
M,3540.3903627773107
F,3301.35932070686
M,3229.5900396142183
M,2964.9171442706765
M,2169.5195332420044
M,3214.809109566293
F,1883.3060526302838
F,2601.1290469917612
F,2427.2063008008804
M,2459.4717297958687
M,3526.576426666452
M,2980.2224230716724
F,2956.337144506804
M,3014.1591880652304
F,2929.0331125424636
F,3259.7421746344007
F,3069.8534731651075
F,2723.85214796807
F,2441.2252889177703
F,2979.289325445436
M,2845.4139382656804
M,3111.0668858168565
F,2954.068720672788
F,3119.821086127734
M,2552.696348890248
F,3226.9576262537303
F,2779.03984187696
M,3723.4889421768667
F,2424.324872764173
