age,support_calls,monthly_usage,contract_type,churn
21,1,191.17803117056533,one-year,0
55,3,103.02761039188877,month-to-month,0
29,3,136.33187944549525,month-to-month,1
38,3,140.4798416657193,month-to-month,0
24,6,99.48704749225914,one-year,1
25,2,121.2319758274346,month-to-month,0
21,4,133.53638580529565,month-to-month,1
43,2,112.07465269112855,month-to-month,1
55,1,71.18874884309767,month-to-month,0
21,3,104.90539537030128,month-to-month,0
49,2,90.97254554633705,month-to-month,0
58,1,154.80257492998788,month-to-month,0
43,3,42.06821835946107,month-to-month,0
22,1,29.77039419302406,month-to-month,0
20,2,123.22951564876155,month-to-month,0
32,0,147.28848348764458,one-year,0
28,2,143.51959354401652,month-to-month,0
40,2,122.34726716363481,month-to-month,0
59,0,109.13409185597389,month-to-month,0
35,3,114.17203216341866,month-to-month,0
47,2,131.45251240898995,one-year,0
57,2,72.05635924942126,one-year,0
56,5,137.13839993615468,month-to-month,1
37,3,116.94727130110569,one-year,0
29,1,147.2380960820536,month-to-month,0
52,4,118.07106475938785,month-to-month,0
41,2,121.12532373942545,month-to-month,1
55,3,113.99469510885494,month-to-month,0
39,1,153.02346295233087,month-to-month,0
42,4,144.5906781235659,month-to-month,1
46,3,82.2991101240448,month-to-month,0
25,0,74.20237810322169,one-year,0
32,2,172.37726171925397,month-to-month,0
52,1,119.64717232931291,month-to-month,0
47,3,203.61577959116318,month-to-month,0
21,1,148.58478069441105,month-to-month,0
31,1,118.40676297862899,month-to-month,0
31,1,116.49641229461261,one-year,0
49,2,113.7103864889504,one-year,0
51,4,107.14503099053564,month-to-month,1
53,2,147.755055953098,month-to-month,0
32,1,137.58600552580015,month-to-month,0
33,2,106.38458350967039,month-to-month,1
32,1,95.80270271813954,month-to-month,0
55,1,109.12864612496786,month-to-month,0
44,2,164.9927351924733,month-to-month,0
29,2,134.63193962997624,month-to-month,1
31,1,164.68535506652427,one-year,0
20,5,121.69929939403046,month-to-month,0
43,2,150.23788417329868,month-to-month,0
31,3,108.88280770901157,month-to-month,1
55,2,112.38850905903277,month-to-month,0
58,4,131.33337216160598,month-to-month,0
22,2,79.94583615705005,month-to-month,0
39,0,101.8076430333034,month-to-month,0
38,3,156.14251451151483,month-to-month,0
47,1,112.79617553792387,one-year,0
55,0,162.42945691453187,month-to-month,0
49,2,115.0717706038211,month-to-month,0
41,3,146.568130684696,one-year,0
56,1,128.36060479029672,month-to-month,0
53,4,82.80534766042027,month-to-month,1
49,2,14.913887263153939,month-to-month,0
51,2,122.77346863158273,one-year,0
31,1,99.10544255597465,one-year,0
50,1,119.91979895551971,month-to-month,0
31,0,143.52369775869164,month-to-month,0
56,4,99.84913897041912,one-year,0
43,2,98.55564880584681,month-to-month,0
50,1,69.34728197925384,one-year,0
47,3,148.85744549157306,one-year,0
57,2,97.89561159590099,month-to-month,0
43,1,144.32432787527068,month-to-month,0
47,4,161.27302019660976,month-to-month,1
57,0,33.456729571409355,one-year,0
52,1,108.19742553165234,month-to-month,0
23,3,117.71058890258068,month-to-month,1
27,1,98.17994769424033,month-to-month,0
48,4,86.24104225346244,month-to-month,1
25,2,126.67597534428579,month-to-month,1
59,1,176.3232727419383,one-year,0
34,1,137.02034349086625,month-to-month,1
54,0,128.35447462840276,month-to-month,0
55,1,46.98584218093711,one-year,0
52,1,99.75587222411667,month-to-month,0
47,2,109.95723156186055,month-to-month,0
20,2,162.34258529819158,one-year,0
34,1,122.9216724757532,one-year,0
52,6,163.55104481817892,month-to-month,1
56,0,139.35730422229767,month-to-month,0
47,2,147.7381063139935,one-year,0
37,0,104.24041080125696,month-to-month,0
33,1,106.79339060328483,one-year,0
45,1,72.18071200060572,month-to-month,1
30,2,87.46339903615808,one-year,0
51,1,140.87265163510014,month-to-month,0
46,3,137.90165477726163,month-to-month,0
42,4,112.20418406085977,month-to-month,0
30,3,145.0338173924172,month-to-month,1
53,3,128.954857659957,one-year,0
58,3,73.21965646715103,one-year,0
38,2,90.52033954314551,month-to-month,1
33,1,167.93917117987263,month-to-month,0
47,2,133.3671333175651,month-to-month,0
22,3,124.57838193734027,one-year,0
59,0,64.28848502214544,month-to-month,0
54,1,156.92564119760942,month-to-month,0
23,1,111.45820304660936,one-year,0
35,1,132.12506660728073,month-to-month,0
50,3,165.87602186488152,month-to-month,0
49,1,107.68834152340625,one-year,0
30,3,92.26923379379991,month-to-month,1
54,4,75.01296844361127,one-year,0
46,3,144.4869008568289,one-year,0
26,2,133.39350699019263,month-to-month,0
53,0,119.98645600627243,month-to-month,0
31,2,130.99418638227868,month-to-month,0
50,4,139.8573645854105,month-to-month,0
26,0,179.5296839054866,month-to-month,0
35,1,91.18384785478278,month-to-month,1
51,1,153.54334652239356,month-to-month,0
23,2,143.44631767330094,one-year,0
31,2,80.01746594962253,one-year,1
48,1,103.14585650743383,one-year,0
26,2,106.1450772422887,month-to-month,0
27,1,109.22084122828686,month-to-month,0
40,3,105.16002765811086,one-year,0
45,2,72.62067119804146,month-to-month,0
54,5,71.14305863910727,month-to-month,0
27,2,116.17037541159748,month-to-month,1
41,2,143.0713444273443,one-year,0
25,2,55.867617305799456,month-to-month,0
50,2,97.65474705852287,month-to-month,1
21,2,57.810160384696594,one-year,0
41,3,114.83589345071522,month-to-month,1
54,1,61.440630328210204,month-to-month,0
59,1,133.73597249384986,one-year,0
20,2,80.21618906600256,one-year,0
26,2,80.44572866900468,month-to-month,0
43,2,143.5868056836118,month-to-month,1
38,2,83.86267013199245,month-to-month,0
28,1,120.39284923131436,one-year,0
42,1,96.88566798893658,one-year,0
47,2,163.5282148944935,month-to-month,0
24,3,110.50753307558729,one-year,0
35,2,115.76308326511509,one-year,0
52,0,199.53426474032173,one-year,0
21,1,83.63727760421804,month-to-month,0
43,2,115.4409705030703,one-year,0
36,4,98.9462339813371,month-to-month,1
41,2,114.7070233412588,one-year,0
31,4,141.67462066592776,month-to-month,0
23,2,96.48204807419464,month-to-month,0
50,3,115.11083090018421,month-to-month,0
39,3,132.03696885846284,month-to-month,1
53,1,169.30978162506986,month-to-month,0
30,2,175.62078906197166,month-to-month,0
34,2,110.05469886172065,one-year,0
51,2,82.94304346681449,month-to-month,1
25,1,160.46483381577042,month-to-month,0
49,1,151.92021624632144,one-year,0
30,3,142.2697518302333,month-to-month,0
36,1,89.43658473187892,one-year,0
43,1,156.27444934911296,month-to-month,0
20,4,133.43822749155754,one-year,1
27,1,138.06656207254173,month-to-month,0
43,2,120.11710612784894,one-year,0
56,1,99.01673093403095,one-year,0
45,0,80.26392991587804,month-to-month,1
34,4,99.49302101882427,month-to-month,1
44,0,208.0462881614189,month-to-month,0
38,3,112.21552111233748,one-year,0
20,0,148.94713747365375,one-year,0
29,4,149.75309942465682,month-to-month,0
21,2,44.29451260750622,one-year,1
32,1,92.22291115311937,month-to-month,0
44,0,95.24367382128962,month-to-month,0
51,2,91.05776935118509,month-to-month,0
59,0,112.03485317738145,month-to-month,0
57,2,119.76861381733895,month-to-month,1
38,5,130.160525028782,one-year,0
22,1,157.51391184582553,month-to-month,0
50,2,138.87737548038984,month-to-month,0
36,0,89.44723053819283,one-year,0
49,1,137.36995483972095,month-to-month,0
54,2,221.138253663875,month-to-month,0
38,1,168.21331291553938,month-to-month,0
25,3,87.45515161608799,one-year,1
21,1,91.36940377703353,month-to-month,0
57,0,77.17868972108602,month-to-month,0
48,1,126.13705997388212,month-to-month,0
26,3,97.64412518409763,month-to-month,0
25,2,130.83413666432276,month-to-month,1
24,1,117.48787755247119,month-to-month,0
55,1,66.17058248280816,month-to-month,0
53,0,106.73642042103302,month-to-month,0
45,0,110.22856181602522,month-to-month,0
24,1,89.93139992302324,month-to-month,0
33,2,60.52800104071259,month-to-month,1
