Industry,Age_Group,City,Spend
Finance,40대,Incheon,312.24649720120465
Retail,30대,Incheon,348.09225042000696
Finance,30대,Seoul,210.60692643261626
Finance,20대,Seoul,312.0841462195737
Finance,20대,Busan,241.2864327295385
IT,40대,Seoul,338.2373461822559
IT,30대,Busan,228.59397434316423
IT,40대,Incheon,224.49305921173453
Finance,40대,Busan,292.8824977917948
IT,40대,Seoul,294.9900781222935
IT,40대,Seoul,345.62365533678974
IT,40대,Seoul,243.71874674674132
Retail,20대,Incheon,267.84436959592307
Finance,30대,Busan,335.7107421117389
IT,20대,Incheon,258.7404661593762
Finance,20대,Incheon,335.08541580724756
IT,40대,Incheon,309.4286119638751
Finance,20대,Busan,350.4845587771696
Retail,20대,Seoul,204.87988192736302
IT,40대,Seoul,143.17032787257597
Finance,30대,Busan,197.7870331934494
Retail,40대,Incheon,240.1543549254367
IT,30대,Incheon,259.007989468695
IT,20대,Busan,390.4990171079006
Finance,40대,Seoul,350.8345873152777
Retail,20대,Incheon,237.34265131277772
Retail,20대,Incheon,305.2386012785194
IT,30대,Incheon,338.9123051526437
IT,20대,Incheon,307.87684798684046
Finance,30대,Incheon,286.27699750665687
Finance,30대,Seoul,353.50132767478095
IT,20대,Seoul,361.21551925762924
Retail,20대,Incheon,328.20361547712326
IT,40대,Busan,258.29248199599164
IT,30대,Incheon,291.4652448164545
Retail,30대,Incheon,299.610910537035
IT,40대,Seoul,317.17571102724116
IT,40대,Incheon,249.1268659351358
Retail,30대,Seoul,287.55310694529453
Retail,30대,Incheon,287.28776325249726
Finance,40대,Incheon,309.9534111223524
IT,30대,Busan,302.10603076705985
Retail,30대,Busan,299.63106047791064
IT,20대,Seoul,286.19626392173416
IT,30대,Seoul,293.7037711367562
IT,20대,Incheon,319.58665060931463
Retail,20대,Busan,243.89719547544928
IT,40대,Busan,236.97007251994546
Finance,30대,Seoul,270.1774605166229
IT,40대,Busan,369.6719148026069
Finance,20대,Incheon,275.7973428691011
Finance,30대,Seoul,383.71206784278877
IT,40대,Busan,335.9514253182551
IT,20대,Incheon,362.02291678813543
IT,40대,Incheon,327.68535620727187
Retail,40대,Incheon,363.854981251989
Retail,20대,Incheon,381.5458858068511
Retail,30대,Seoul,383.42338455015266
IT,20대,Busan,296.60367780757025
IT,20대,Seoul,320.88815015684895
IT,40대,Incheon,358.09306960914614
Retail,40대,Busan,264.080601152677
Retail,20대,Incheon,305.554051854421
Retail,30대,Busan,335.02590750418557
Retail,40대,Busan,318.8087578291145
Retail,40대,Seoul,331.7917618325177
Finance,20대,Incheon,344.58253150284554
Retail,20대,Busan,336.675100662603
Finance,30대,Busan,361.6919617879331
Finance,20대,Seoul,397.3792977295054
Finance,20대,Incheon,290.39168044623887
Retail,30대,Incheon,236.26910786733856
Retail,20대,Incheon,284.647598401907
Retail,20대,Seoul,242.96431107819117
IT,30대,Seoul,281.9134052473065
Retail,40대,Seoul,269.8971814728665
Finance,40대,Busan,319.5451720401456
Retail,30대,Incheon,304.15672365084527
IT,20대,Seoul,337.3539298852146
IT,30대,Seoul,275.507848027821
Retail,30대,Busan,249.98605614990453
Retail,30대,Incheon,326.77300078054566
Finance,30대,Seoul,382.7775983730037
Finance,30대,Incheon,218.60762301179233
IT,20대,Incheon,270.3698926902962
Finance,20대,Seoul,243.0983493785476
IT,40대,Seoul,301.2588131269861
Retail,30대,Seoul,414.8702877582662
IT,40대,Busan,318.0152410282026
Finance,30대,Seoul,340.43221357980275
Retail,30대,Busan,288.1582533722939
Finance,20대,Incheon,367.0519157123575
IT,40대,Busan,378.40564007822326
IT,30대,Busan,331.3146213940505
Retail,40대,Busan,271.37256866936775
Retail,30대,Seoul,297.352379732971
Finance,20대,Seoul,338.73744546724134
Finance,20대,Busan,310.7212275621451
Retail,30대,Seoul,283.6809694503644
Retail,20대,Busan,329.9597230157715
IT,30대,Busan,304.32941694652317
Finance,20대,Busan,304.3201993297099
Retail,20대,Busan,356.45891169635047
Finance,30대,Seoul,361.92612870131336
Retail,30대,Seoul,281.22399968844314
Finance,30대,Incheon,264.5770540136818
Retail,30대,Busan,376.5159084214886
Finance,30대,Seoul,330.8321266854136
Finance,40대,Busan,253.78173298739028
Retail,30대,Seoul,356.9870907209471
Retail,30대,Busan,277.7897141138188
IT,40대,Incheon,347.48879912732224
IT,40대,Seoul,264.6348530161443
Finance,20대,Seoul,320.62525616731455
Finance,30대,Busan,311.8093600359336
Retail,20대,Busan,297.4931396152673
Finance,20대,Seoul,292.66068993937813
Retail,20대,Incheon,327.73706938213917
Finance,30대,Busan,287.43588009999047
Retail,20대,Incheon,333.6209807734506
IT,30대,Seoul,368.59979235535485
Retail,30대,Incheon,252.57935361122256
Finance,20대,Seoul,208.02919324316258
IT,20대,Busan,306.69670232126856
Finance,30대,Seoul,263.0842507366121
Finance,40대,Incheon,262.14822447086857
Finance,40대,Busan,247.51952380373294
IT,30대,Incheon,207.49353902218587
IT,40대,Seoul,278.4363020407769
IT,40대,Incheon,328.3874433980042
IT,40대,Incheon,364.16786331148273
IT,20대,Busan,303.56704227400786
Retail,40대,Busan,305.3041431181333
Finance,40대,Incheon,288.18788761519033
IT,30대,Incheon,330.29502161556405
Finance,40대,Incheon,299.4591625815712
IT,40대,Busan,333.23220743145515
Finance,20대,Seoul,366.88852150990107
Finance,30대,Seoul,371.43012400434964
IT,40대,Incheon,252.32580177220453
IT,40대,Busan,334.22482782656806
Retail,40대,Incheon,258.6758609665203
Retail,20대,Seoul,206.5160371759123
Finance,20대,Busan,184.88919716024492
Finance,20대,Incheon,347.2823062574061
IT,30대,Incheon,383.1834652582004
Finance,30대,Busan,221.67039365762673
IT,40대,Busan,380.6347782997658
IT,30대,Busan,262.89420186101273
IT,40대,Seoul,361.8021784916309
Finance,20대,Busan,337.9728142154864
Retail,20대,Busan,183.03016386116835
Retail,30대,Busan,187.53777089450284
IT,30대,Busan,327.4439164733296
Finance,30대,Seoul,335.958862956912
Retail,40대,Incheon,238.3029633249579
IT,30대,Incheon,359.5155130494729
IT,20대,Busan,332.57820725419145
Retail,30대,Incheon,328.08044998791155
IT,40대,Incheon,342.8644766574862
Retail,30대,Busan,350.8304452713289
Retail,20대,Busan,270.34780078563915
Retail,30대,Seoul,328.16093594050244
IT,40대,Incheon,315.0279346055343
Retail,30대,Seoul,312.6467401001413
Retail,20대,Seoul,247.03637867444908
Finance,20대,Busan,395.77833866067266
Finance,30대,Seoul,285.2214957856451
Retail,30대,Incheon,357.528804941256
Finance,40대,Busan,308.00378664816117
Retail,40대,Seoul,306.79109787754953
IT,30대,Busan,293.04273411218065
Retail,30대,Incheon,243.94111435325522
IT,30대,Incheon,255.90765656483927
Retail,20대,Busan,356.420533699192
Finance,20대,Incheon,275.19938224825165
Finance,40대,Seoul,257.63098685057577
Finance,30대,Incheon,222.8949384932999
Finance,30대,Busan,290.9581759551416
Retail,20대,Incheon,375.1034920756937
IT,40대,Seoul,343.77046188484906
Retail,40대,Incheon,272.6215698493405
Retail,20대,Seoul,293.6254523391981
IT,30대,Busan,270.10040030937904
Finance,40대,Seoul,274.3107512523432
Finance,20대,Incheon,260.3738527190432
Retail,20대,Busan,305.0989808644002
IT,30대,Incheon,305.8697552977551
Retail,20대,Seoul,268.0137878670044
Retail,20대,Incheon,347.31326568012577
Finance,20대,Busan,322.2409217451293
IT,40대,Busan,230.73077104390626
IT,40대,Incheon,294.29555120599537
IT,30대,Incheon,182.58185994139438
Finance,20대,Busan,290.36635181284856
Finance,30대,Busan,194.8027122631674
Retail,30대,Incheon,193.42081264495098
Retail,30대,Incheon,335.9597708071349
IT,40대,Seoul,254.4461713749457
IT,30대,Seoul,293.5473105279046
Finance,30대,Busan,305.44864689900845
IT,20대,Busan,312.4313813080872
IT,40대,Seoul,314.31104117165586
IT,30대,Incheon,255.51990323574682
IT,40대,Incheon,243.54717063608436
Retail,40대,Busan,318.15256569244104
Finance,40대,Seoul,357.02685869602703
IT,20대,Busan,289.65153232289236
Finance,40대,Seoul,364.2248324043178
IT,30대,Seoul,282.7390556121519
IT,20대,Incheon,228.94947688725927
Finance,40대,Seoul,245.63313195113165
Retail,20대,Seoul,291.0471379053411
Retail,20대,Busan,273.5282628685219
Finance,20대,Busan,261.90654179612216
Retail,30대,Busan,260.1228670887547
Retail,20대,Incheon,296.1081279843836
Retail,20대,Seoul,190.51332454653823
Retail,20대,Seoul,360.6711214978544
Finance,40대,Incheon,346.47339307481604
Retail,40대,Busan,275.7926084135668
Finance,30대,Incheon,310.999853629336
Finance,20대,Seoul,255.1241730144604
Retail,40대,Busan,345.4225872410463
Finance,30대,Busan,266.49107561283006
IT,20대,Seoul,290.4714723047067
Retail,40대,Seoul,302.7825942274316
IT,20대,Busan,432.7944325931787
Finance,40대,Incheon,275.1898549305536
Finance,40대,Busan,269.1828516572048
Finance,30대,Incheon,265.1539459539329
Finance,30대,Seoul,248.1615955046419
Retail,40대,Incheon,388.89225758731584
IT,40대,Seoul,147.78276177592537
Retail,40대,Incheon,203.27900211867285
IT,40대,Seoul,303.37486939111943
Retail,40대,Busan,321.02293059716243
Retail,20대,Busan,266.9279383206052
Finance,40대,Seoul,365.89298352876096
Finance,40대,Busan,292.0447235737582
Finance,40대,Busan,321.7401679590802
IT,40대,Busan,328.58852408804535
Finance,20대,Incheon,264.7073377007332
Retail,30대,Busan,310.4400480765159
IT,40대,Incheon,237.58705411223187
Retail,30대,Seoul,281.7382407271185
IT,30대,Busan,288.9931194412918
Retail,40대,Seoul,322.88228909848164
IT,20대,Incheon,322.846338653779
Retail,40대,Incheon,264.9304474765997
Finance,30대,Seoul,315.9844796212593
IT,20대,Incheon,381.03426776927114
Finance,30대,Seoul,262.57119762446405
Finance,20대,Busan,260.4232784783713
Finance,30대,Busan,390.95889395949723
Retail,40대,Busan,310.291701611857
Retail,20대,Incheon,382.9403100762645
Finance,40대,Seoul,335.860858275881
Finance,20대,Seoul,235.15644508515982
IT,20대,Incheon,287.4224888362502
Finance,20대,Seoul,213.56100613672697
Retail,40대,Seoul,309.1819215131301
IT,30대,Seoul,261.1824733609682
Retail,30대,Busan,282.2412902130388
Finance,20대,Seoul,258.88071419350166
Finance,40대,Seoul,389.569885874502
IT,30대,Incheon,271.7144417762439
Retail,20대,Incheon,348.84742521428655
Retail,40대,Incheon,241.3605052372835
Retail,40대,Busan,319.46166396283945
Finance,20대,Incheon,299.071414381381
IT,40대,Busan,361.91983279128294
Finance,30대,Seoul,335.46322218492134
Finance,30대,Incheon,320.4844266605168
Finance,40대,Busan,336.45358617323427
Retail,40대,Seoul,334.964592064833
Retail,20대,Seoul,331.926906826284
Retail,30대,Busan,345.3152727871836
Finance,40대,Incheon,362.6221303626203
Finance,30대,Busan,256.68374074266325
Finance,30대,Incheon,
Retail,20대,Busan,
Retail,20대,Busan,
IT,40대,Seoul,
Retail,20대,Seoul,
Finance,40대,Seoul,
Finance,30대,Seoul,
IT,40대,Incheon,
Retail,20대,Seoul,
IT,20대,Incheon,
IT,40대,Seoul,
Retail,30대,Seoul,
IT,20대,Busan,
Retail,30대,Seoul,
Finance,40대,Incheon,
Retail,20대,Seoul,
Retail,40대,Incheon,
IT,40대,Seoul,
IT,30대,Busan,
Finance,40대,Incheon,
