Dept,Grade,Salary
QA,2급,3800.5
Dev,1급,3246.6
QA,2급,3974.3
QA,2급,2732.3
Dev,3급,3997.2
Sales,2급,3850.0
Dev,1급,4251.8
HR,1급,2163.4
Dev,3급,2844.4
HR,2급,4661.1
QA,3급,2063.5
QA,2급,3156.4
QA,1급,5121.1
QA,1급,2650.2
HR,3급,2722.6
QA,2급,2857.0
HR,2급,4297.4
Dev,2급,4032.7
Sales,3급,2034.8
Sales,3급,1584.6
Dev,3급,3350.4
Dev,1급,3718.2
Sales,2급,4348.7
HR,3급,3918.3
HR,3급,3847.1
Dev,2급,3581.6
Dev,2급,3715.7
QA,1급,5521.7
HR,1급,3491.5
Sales,3급,3190.4
Dev,2급,3331.8
HR,1급,3981.8
Dev,3급,2899.8
Sales,2급,3411.6
HR,1급,3695.0
Sales,2급,4166.5
Dev,3급,4437.5
QA,2급,3239.2
Dev,1급,4117.9
QA,2급,3892.9
HR,2급,2923.5
QA,2급,3219.8
Dev,3급,2157.8
QA,3급,3321.0
Sales,1급,2648.8
QA,2급,3771.1
Sales,3급,3398.0
QA,3급,3700.9
Dev,2급,4216.9
Dev,1급,4394.4
Sales,3급,3211.6
QA,1급,4113.2
HR,1급,3311.9
QA,1급,3867.4
QA,1급,2537.8
QA,2급,4344.2
Dev,1급,3311.7
Dev,3급,2701.7
HR,1급,2590.9
HR,3급,3649.4
Sales,2급,3224.8
Dev,2급,3667.6
Dev,2급,3992.4
QA,2급,3026.0
HR,2급,4314.6
HR,3급,2059.9
HR,2급,3590.6
Dev,1급,4013.3
HR,3급,3999.3
Dev,3급,3004.6
Dev,3급,3857.9
HR,1급,3345.8
HR,2급,3641.9
Dev,3급,4170.0
Dev,2급,3444.4
Dev,2급,2820.3
HR,3급,2572.7
Sales,3급,3898.6
Sales,1급,4357.3
Sales,2급,2856.5
Sales,3급,3795.6
Dev,3급,3861.4
Sales,2급,4417.2
Dev,2급,4167.6
Sales,3급,3128.3
QA,1급,3394.5
QA,2급,2835.5
HR,1급,2329.2
HR,3급,3704.4
Sales,1급,3764.9
QA,2급,4636.2
HR,3급,3040.7
Sales,2급,4416.6
HR,1급,4712.2
Sales,1급,4412.6
Sales,3급,3736.1
HR,1급,3308.1
HR,1급,2668.7
HR,2급,3383.7
Dev,3급,3014.2
Dev,3급,4047.5
Sales,1급,3984.9
QA,2급,3723.0
HR,2급,3534.8
Dev,2급,4185.3
Sales,3급,4507.6
HR,1급,2447.0
QA,1급,3780.8
Sales,3급,3704.4
QA,2급,4585.9
Dev,2급,4083.6
HR,2급,3213.2
HR,1급,2898.3
Dev,3급,3456.1
Sales,1급,3526.3
Dev,3급,3453.2
HR,2급,3553.0
QA,1급,4464.0
QA,2급,4960.3
HR,3급,3719.4
QA,3급,3930.4
Dev,2급,2889.8
HR,2급,3039.4
QA,2급,3392.7
Sales,2급,5396.0
Sales,1급,3259.3
Sales,1급,3228.9
QA,3급,3470.5
Sales,2급,3160.7
QA,3급,3870.6
Dev,2급,3206.0
Sales,3급,3045.9
HR,2급,1984.9
HR,3급,4243.5
Dev,2급,3327.3
Sales,2급,2802.0
QA,2급,3627.8
Sales,3급,4225.9
HR,2급,3556.9
QA,3급,3940.5
QA,2급,3395.5
Sales,2급,3580.1
Sales,2급,2410.0
QA,1급,3849.4
Sales,1급,3596.8
Sales,3급,3588.1
HR,2급,3117.8
Dev,1급,4608.4
HR,1급,3715.7
QA,3급,4381.0
HR,2급,3533.2
Dev,3급,3423.5
HR,1급,3287.0
HR,3급,4162.8
Sales,2급,3199.7
HR,1급,3025.2
HR,1급,2782.7
Dev,3급,3351.7
Sales,2급,2396.6
Dev,3급,3588.9
Sales,2급,2765.8
Dev,1급,1993.8
QA,2급,2908.5
Dev,3급,3626.7
Sales,1급,4380.6
Sales,3급,3619.8
QA,1급,4154.1
HR,2급,3589.3
Sales,3급,2334.5
QA,2급,5153.3
Dev,2급,4423.8
HR,2급,3733.0
HR,3급,3045.1
Sales,1급,4954.6
Dev,1급,3703.4
Sales,3급,4905.0
QA,1급,3589.4
QA,1급,3258.2
HR,3급,3223.8
QA,1급,3864.9
Dev,1급,2821.4
HR,1급,4770.3
Sales,3급,2746.1
HR,1급,4061.2
QA,2급,3342.8
QA,2급,2912.5
QA,2급,3647.6
HR,2급,3700.0
HR,3급,3889.0
HR,1급,3035.9
Sales,3급,3857.6
Sales,2급,3625.0
Dev,2급,5285.8
QA,1급,3296.7
QA,1급,3239.2
HR,1급,4156.3
QA,2급,3990.0
HR,1급,3854.3
HR,1급,4789.9
QA,2급,3500.1
QA,1급,3483.3
HR,1급,3570.3
Sales,1급,3519.3
Dev,3급,5093.6
Sales,1급,3554.0
Dev,3급,2908.2
QA,1급,3742.2
HR,1급,3308.9
QA,2급,3291.2
HR,2급,2257.6
Sales,3급,3643.2
Sales,3급,4363.7
HR,3급,3218.3
QA,1급,4159.7
QA,3급,3634.6
Dev,2급,3832.7
HR,1급,2201.4
Dev,1급,3775.3
QA,1급,4120.3
Sales,2급,2914.1
