Category,Month,Sales
B,Feb,674.8
B,Feb,892.7
B,Jan,1208.2
D,Jan,1284.7
C,Feb,1225.6
C,Feb,583.3
D,Feb,912.1
A,Jan,1008.2
A,Mar,1349.4
A,Mar,980.7
A,Feb,748.0
D,Feb,1364.3
D,Feb,627.6
B,Jan,1306.1
B,Mar,872.4
A,Feb,684.2
D,Feb,860.1
A,Mar,1157.7
A,Feb,431.2
C,Mar,854.2
D,Jan,749.4
D,Jan,994.7
C,Jan,1247.3
C,Jan,860.9
A,Mar,924.1
B,Feb,1043.8
B,Mar,784.5
B,Mar,1449.5
A,Jan,601.0
B,Mar,461.5
D,Mar,855.1
D,Mar,1565.4
B,Mar,1028.6
C,Mar,744.0
A,Mar,1507.6
C,Feb,809.7
C,Mar,751.5
D,Feb,951.1
D,Feb,1389.1
B,Jan,1436.6
B,Mar,893.8
B,Jan,1161.0
C,Jan,1397.5
C,Mar,1314.6
C,Jan,1498.7
C,Jan,1409.8
A,Jan,871.6
C,Feb,1077.3
B,Feb,1160.6
D,Feb,441.6
D,Feb,1055.6
C,Jan,1171.3
B,Mar,955.0
B,Feb,1026.7
C,Mar,1155.2
A,Jan,1215.5
C,Jan,1002.7
A,Mar,1019.8
A,Mar,1429.6
C,Feb,808.0
A,Feb,854.5
D,Feb,1188.5
D,Jan,1687.7
A,Feb,765.5
C,Jan,857.9
A,Jan,928.7
A,Jan,886.5
B,Mar,792.3
A,Mar,1388.2
C,Feb,889.7
B,Mar,1069.6
C,Mar,1099.6
D,Feb,900.8
A,Feb,1096.2
D,Jan,1489.5
C,Mar,802.2
A,Feb,1400.6
B,Mar,1063.3
B,Mar,1643.5
B,Jan,1412.0
B,Mar,1100.5
B,Feb,1130.8
C,Feb,761.9
B,Feb,969.4
D,Mar,725.5
B,Jan,1043.7
A,Jan,1330.5
D,Jan,1300.8
B,Jan,657.1
A,Mar,1283.7
A,Jan,564.0
B,Jan,447.3
C,Feb,1273.2
B,Jan,1009.8
D,Mar,1542.4
C,Mar,1060.1
A,Feb,679.6
C,Feb,823.0
A,Mar,981.8
A,Feb,964.4
B,Feb,1022.5
B,Jan,536.8
C,Mar,1302.2
B,Feb,1231.9
C,Jan,578.1
A,Jan,1206.4
C,Jan,1331.3
A,Mar,439.5
B,Feb,1373.8
B,Mar,1457.6
C,Jan,955.7
D,Jan,905.9
C,Feb,1219.7
A,Feb,1270.9
C,Jan,1339.4
D,Mar,846.8
B,Mar,1166.0
B,Feb,985.2
D,Mar,686.4
A,Mar,1055.0
A,Feb,1478.1
A,Feb,1048.4
D,Jan,997.9
A,Feb,1518.4
A,Feb,864.4
D,Feb,1175.0
C,Jan,528.0
D,Mar,1067.3
B,Jan,1004.8
A,Mar,1188.2
D,Jan,990.0
A,Jan,1326.5
C,Mar,1183.5
B,Jan,988.3
B,Jan,734.3
B,Feb,1223.7
A,Jan,574.7
C,Jan,1016.2
C,Feb,1042.6
D,Jan,779.9
A,Jan,1024.4
B,Jan,523.9
D,Feb,1247.2
B,Jan,1091.1
D,Jan,1181.4
A,Jan,1620.8
A,Jan,1749.3
B,Feb,918.9
A,Jan,647.9
C,Feb,1267.7
D,Mar,1007.3
D,Mar,1836.2
A,Mar,1049.0
D,Mar,1150.7
A,Mar,588.3
A,Jan,876.3
A,Feb,1275.7
C,Jan,1065.8
A,Jan,855.8
D,Mar,970.3
A,Mar,816.0
C,Feb,1037.2
C,Feb,1372.8
D,Mar,1455.8
A,Jan,1676.1
A,Jan,1340.8
C,Feb,823.3
A,Mar,692.3
B,Mar,1064.3
B,Jan,950.9
A,Feb,297.2
B,Jan,1028.7
A,Jan,754.2
B,Mar,1047.8
B,Jan,1648.2
A,Jan,1033.5
A,Jan,1091.8
D,Jan,1045.7
A,Jan,1369.5
D,Mar,444.7
D,Jan,1373.4
B,Jan,885.2
B,Jan,1230.3
A,Feb,941.6
A,Jan,915.9
B,Feb,543.2
B,Feb,1354.0
B,Feb,1252.4
D,Feb,440.0
D,Jan,1652.5
B,Feb,1121.2
D,Mar,810.1
B,Mar,1219.9
D,Feb,986.2
A,Jan,1030.3
D,Feb,1258.3
B,Feb,1324.2
C,Mar,596.2
C,Mar,1090.2
C,Mar,878.7
B,Mar,1341.3
D,Mar,957.0
C,Mar,263.1
A,Mar,1080.0
C,Jan,793.9
A,Feb,1261.1
C,Feb,740.1
B,Jan,185.6
C,Mar,1265.6
A,Mar,1530.6
D,Jan,1202.9
A,Jan,610.9
C,Mar,1336.1
B,Mar,1098.6
D,Mar,600.0
C,Mar,866.8
A,Feb,383.1
D,Mar,1108.1
B,Mar,672.6
D,Jan,1160.9
D,Feb,1266.0
D,Feb,1012.6
D,Jan,1465.2
D,Mar,437.2
C,Mar,1600.3
B,Feb,916.1
A,Jan,700.3
D,Jan,600.1
D,Feb,1391.0
C,Mar,959.1
A,Feb,1171.5
D,Feb,1041.0
B,Mar,1031.4
D,Mar,1028.2
D,Mar,960.4
C,Feb,404.1
B,Mar,1083.8
A,Jan,578.0
A,Feb,1076.8
B,Mar,581.8
