Product,Region,Revenue
P1,East,5450.6
P2,West,4842.5
P3,West,4725.3
P2,East,6450.5
P1,West,4144.6
P1,East,4529.9
P1,East,4567.1
P1,East,5660.7
P1,East,5922.5
P1,East,3235.4
P2,West,5574.2
P2,West,4956.7
P3,West,3787.1
P2,East,3931.6
P2,West,7701.7
P3,West,3187.1
P2,West,5153.3
P1,East,5149.5
P2,West,5309.8
P3,East,5354.7
P1,East,5140.6
P2,East,3432.8
P1,West,5915.5
P2,East,3415.9
P3,West,4793.4
P3,East,6443.8
P2,East,5418.9
P1,West,3734.1
P3,East,4971.5
P3,West,4753.7
P3,West,3140.1
P2,West,5319.4
P1,East,6016.9
P2,East,5154.5
P2,West,6505.4
P1,West,4272.1
P3,West,5433.0
P1,West,6078.0
P2,West,3527.0
P3,East,5427.3
P1,West,2826.2
P2,West,6429.3
P2,East,5058.3
P3,West,5290.2
P2,West,2849.5
P3,East,6870.5
P2,West,5313.2
P3,West,4847.2
P1,East,5629.6
P3,West,6044.6
P3,East,6155.0
P3,East,6293.9
P2,West,5901.4
P1,West,6802.6
P1,East,7037.4
P3,West,4502.8
P3,East,5385.6
P1,East,6089.7
P1,West,4947.3
P3,East,5297.5
P2,West,5276.3
P2,East,5828.3
P1,East,4692.3
P2,East,6631.5
P1,East,3105.4
P2,West,5580.3
P1,East,5780.3
P3,East,3874.9
P1,West,5407.1
P3,West,4547.0
P2,West,4032.3
P2,East,4153.4
P2,West,4494.4
P1,East,5326.2
P3,East,5766.3
P3,West,6141.7
P3,East,4494.9
P3,East,4303.2
P3,West,6823.1
P3,East,6319.8
P3,West,3243.6
P3,East,6425.6
P2,West,3545.6
P1,East,5404.9
P2,West,4492.0
P2,East,5201.1
P2,East,4805.2
P1,East,4519.0
P3,East,6591.4
P3,West,5149.6
P1,West,5688.1
P3,West,6628.0
P2,West,5304.3
P1,West,3921.4
P2,West,4422.9
P2,East,4351.3
P1,East,5304.4
P1,East,4575.6
P1,East,4224.4
P1,West,4796.5
P1,East,3444.4
P3,West,3678.4
P1,West,4572.4
P2,East,6539.2
P2,West,4787.6
P2,West,4705.6
P2,East,5927.2
P3,East,5694.8
P2,West,4726.9
P1,West,4228.0
P2,West,3918.6
P1,West,5509.6
P1,East,5559.4
P3,West,4685.0
P1,East,5183.5
P1,East,2298.2
P1,East,5175.5
P2,West,5487.6
P3,West,5426.3
P1,East,6043.5
P3,East,4272.5
P2,West,4388.2
P2,East,4783.5
P2,West,6795.4
P3,West,4272.2
P1,West,3833.4
P1,West,4775.3
P3,East,4551.4
P2,East,4704.2
P3,East,6066.7
P1,West,4823.4
P2,West,5263.3
P3,West,4150.6
P2,West,4970.6
P3,East,5269.5
P1,West,5512.8
P3,West,6526.5
P3,East,6058.1
P1,West,6702.1
P3,West,4172.0
P2,East,5304.9
P2,West,4918.4
P3,West,5297.5
P2,East,5726.5
P2,East,5273.2
P3,East,6017.0
P3,East,5038.6
P1,West,5438.8
P3,West,4577.0
P1,East,4826.9
P1,West,6164.8
P1,East,3782.2
P1,East,5377.8
P1,West,3953.0
P2,West,5231.1
P2,East,6508.5
P2,West,4495.4
P1,East,6500.3
P3,East,4774.9
P2,West,5829.7
P1,East,5808.6
P1,East,5340.9
P2,East,5316.7
P2,East,6510.3
P3,East,2942.8
P2,West,5660.8
P3,East,4513.4
P2,West,5549.1
P2,West,4434.2
P1,West,4326.5
P1,East,2188.8
P2,West,4626.8
P1,East,4118.8
P2,West,4930.6
P2,East,4253.9
P1,West,6265.0
P3,West,3522.6
P1,West,6123.8
P1,East,4327.2
P2,East,3394.8
P2,East,5980.8
P1,West,4784.2
P2,East,4323.5
P3,East,5445.5
P2,East,2880.8
P1,East,5608.1
P1,East,5978.8
P2,West,6120.4
P3,West,3827.7
P1,West,6077.7
P2,East,6164.3
P2,West,4768.4
P2,East,5244.0
P3,West,5543.0
P3,West,5391.7
P3,East,4893.9
P2,West,4618.2
P3,East,4627.7
P3,West,5062.2
P2,East,5077.7
P1,West,4916.7
P2,East,5177.7
P1,West,4567.4
P2,West,5613.7
P1,West,5506.8
P2,East,4658.6
P1,West,6638.4
P3,East,5999.4
P3,East,5895.5
P3,West,4570.5
P2,West,5006.2
P3,West,3587.9
P2,West,4973.5
P3,East,3694.7
P3,West,4000.5
P2,East,5694.6
P2,West,4120.8
P3,West,6540.3
P2,West,5848.6
P2,East,5527.7
P3,East,5132.0
P2,East,5052.3
P1,West,7096.5
P2,East,4029.0
P2,East,4510.7
P2,East,4919.0
P2,West,6368.8
P2,East,3841.4
P3,West,3103.7
P1,East,3040.5
P3,East,6021.1
P1,East,5553.1
P1,West,5382.4
P2,East,3727.2
P1,West,5131.0
P1,East,4724.2
P2,West,4872.0
P1,West,5534.3
P2,East,5964.3
P1,West,3722.9
P3,West,3035.1
P1,West,3293.6
P3,East,5565.3
P2,West,5932.0
P1,East,4271.2
P3,East,5299.9
P1,East,3957.1
P1,East,6149.1
P2,West,5893.9
P1,East,4594.6
P3,West,4489.6
P3,West,4632.9
P2,West,3431.1
P3,West,6904.2
P3,West,5055.1
P2,West,4965.1
P2,West,7790.1
P3,West,5775.6
P1,West,3805.0
P3,West,4206.1
P2,East,6929.9
P3,West,5780.1
P1,West,6185.0
P3,West,4948.8
P2,East,2924.3
P3,East,5233.3
P2,West,1862.7
P1,East,3177.1
P1,West,4565.5
P1,West,5188.4
