Month,Product,Amount
Mar,C,88.1
Mar,A,89.9
Feb,C,104.3
Jan,B,120.2
Jan,C,92.8
Mar,A,75.6
Feb,A,107.4
Mar,B,83.0
Mar,C,97.8
Feb,B,61.1
Feb,A,122.6
Jan,C,72.3
Jan,A,105.5
Feb,C,131.1
Feb,A,105.2
Mar,C,85.1
Mar,B,101.6
Mar,B,82.6
Feb,A,95.5
Jan,B,94.4
Mar,C,76.8
Feb,B,90.4
Feb,B,110.2
Jan,A,78.3
Mar,B,115.4
Feb,C,143.0
Jan,B,100.4
Mar,A,136.0
Feb,A,93.0
Feb,C,85.0
Mar,A,122.0
Mar,B,92.8
Jan,C,96.4
Mar,A,92.1
Feb,A,118.3
Jan,C,94.2
Mar,C,104.2
Jan,C,75.0
Jan,A,117.3
Jan,C,101.0
Jan,A,100.2
Feb,C,45.6
Mar,C,90.8
Jan,A,102.4
Mar,A,112.7
Jan,A,44.9
Feb,A,100.0
Feb,C,92.3
Mar,A,104.4
Feb,A,73.3
Mar,B,102.3
Feb,A,134.7
Feb,A,61.2
Mar,C,136.8
Feb,A,104.9
Mar,B,107.5
Feb,A,113.4
Feb,B,111.1
Mar,A,104.9
Feb,C,111.1
Jan,B,130.1
Feb,B,43.3
Mar,A,129.3
Feb,C,84.2
Mar,C,85.4
Mar,B,99.5
Feb,C,107.9
Mar,C,95.2
Mar,C,61.7
Jan,B,94.6
Feb,B,121.5
Feb,C,120.0
Feb,B,50.5
Jan,B,144.4
Jan,C,107.3
Jan,C,107.1
Mar,C,113.6
Mar,C,90.2
Mar,B,112.4
Mar,B,108.0
Feb,A,101.2
Feb,A,89.6
Feb,A,106.5
Feb,B,80.2
Jan,A,105.8
Feb,C,72.2
Jan,C,101.6
Mar,A,106.2
Feb,B,96.5
Feb,C,117.2
Jan,C,89.0
Feb,B,127.6
Jan,C,103.9
Mar,C,101.2
Mar,B,101.8
Feb,A,60.4
Jan,C,54.8
Mar,A,75.6
Mar,C,64.7
Mar,B,100.1
Jan,C,133.1
Feb,B,96.0
Mar,A,67.1
Mar,A,61.0
Mar,C,86.7
Mar,C,99.2
Feb,B,121.3
Jan,C,93.4
Feb,A,83.5
Mar,A,86.3
Mar,B,97.4
Feb,A,102.2
Feb,A,107.6
Feb,B,152.1
Mar,A,113.8
Mar,B,141.5
Feb,C,133.1
Mar,B,113.1
Mar,C,77.4
Mar,C,115.8
Feb,B,106.8
Jan,B,119.9
Mar,C,107.3
Mar,A,123.8
Jan,B,126.9
Jan,B,113.8
Feb,B,122.5
Jan,A,103.8
Mar,B,94.9
Mar,A,92.5
Feb,A,105.9
Mar,C,83.1
Mar,C,93.7
Mar,A,105.6
Feb,B,113.2
Jan,C,112.1
Feb,B,88.7
Feb,B,70.8
Feb,A,71.6
Mar,A,89.5
Jan,C,98.5
Jan,B,99.8
Feb,A,123.9
Mar,B,110.7
Mar,C,107.9
Feb,A,82.4
Mar,C,103.0
Mar,A,85.3
Mar,C,109.2
Mar,B,91.9
Jan,B,93.7
Feb,B,115.0
Mar,A,115.9
Feb,C,163.1
Mar,C,98.1
Mar,B,64.0
Mar,A,106.6
Feb,C,117.1
Jan,C,116.5
Jan,B,86.6
Feb,B,79.8
Feb,B,73.9
Feb,C,88.1
Feb,C,70.3
Mar,C,87.3
Jan,B,90.7
Jan,B,112.7
Feb,A,108.3
Mar,C,85.6
Feb,B,98.8
Mar,C,76.3
Mar,B,101.9
Mar,C,96.6
Jan,B,116.8
Jan,A,93.7
Mar,C,129.5
Jan,C,65.3
Jan,B,60.8
Mar,A,91.7
Feb,A,108.7
Jan,A,85.1
Mar,A,89.3
Mar,A,130.7
Feb,A,89.7
Jan,C,91.2
Jan,B,86.1
Feb,B,104.6
Feb,C,135.5
Mar,C,119.1
Jan,C,105.8
Mar,B,105.9
Jan,B,105.7
Feb,B,83.5
Feb,A,78.1
Jan,C,86.8
Mar,C,118.9
Feb,C,106.8
Jan,B,99.3
Mar,B,100.5
Mar,B,110.1
Jan,A,108.3
Mar,A,98.4
Jan,C,86.8
Mar,C,119.5
Mar,C,115.3
Feb,A,107.2
Jan,C,63.4
Mar,B,115.5
Mar,B,113.3
Feb,A,95.8
Jan,C,61.3
Jan,C,107.7
Feb,A,103.9
Mar,C,101.0
Feb,C,84.5
Feb,A,100.0
Feb,C,77.7
Mar,C,145.5
Mar,B,105.5
Mar,B,105.7
Mar,A,87.8
Feb,B,101.9
Jan,C,127.7
Feb,B,127.7
Jan,C,104.9
Jan,A,95.3
Mar,B,77.7
Feb,A,110.3
Feb,C,111.3
Feb,B,90.1
Mar,C,95.3
Mar,B,102.8
Mar,C,96.2
Jan,B,140.8
Feb,A,153.5
Feb,C,86.2
Mar,A,142.9
Feb,A,106.8
Mar,C,142.5
Jan,A,121.5
Feb,B,100.7
Feb,B,144.6
Jan,B,112.9
Jan,B,95.2
Feb,B,78.4
Feb,A,128.3
Mar,A,80.8
Feb,B,84.7
Feb,A,121.2
Jan,C,103.5
Jan,A,107.4
Mar,C,117.7
Feb,A,117.2
Mar,B,115.7
Mar,C,94.1
Mar,B,95.5
Mar,A,88.5
Feb,C,91.5
Jan,C,104.5
Jan,B,95.7
