Date,Sales
2023-01-01,417.8
2023-01-02,517.7
2023-01-03,590.4
2023-01-04,591.7
2023-01-05,452.6
2023-01-06,509.5
2023-01-07,461.2
2023-01-08,344.4
2023-01-09,507.4
2023-01-10,572.2
2023-01-11,605.2
2023-01-12,561.7
2023-01-13,456.8
2023-01-14,477.3
2023-01-15,428.9
2023-01-16,532.3
2023-01-17,408.4
2023-01-18,543.6
2023-01-19,616.3
2023-01-20,597.9
2023-01-21,517.7
2023-01-22,644.5
2023-01-23,529.2
2023-01-24,484.7
2023-01-25,530.2
2023-01-26,486.5
2023-01-27,491.9
2023-01-28,580.4
2023-01-29,558.7
2023-01-30,492.3
2023-01-31,603.2
2023-02-01,627.9
2023-02-02,387.6
2023-02-03,504.1
2023-02-04,425.9
2023-02-05,499.4
2023-02-06,546.1
2023-02-07,549.0
2023-02-08,449.5
2023-02-09,462.6
2023-02-10,476.2
2023-02-11,608.0
2023-02-12,609.9
2023-02-13,430.1
2023-02-14,607.4
2023-02-15,597.8
2023-02-16,634.9
2023-02-17,535.6
2023-02-18,594.7
2023-02-19,603.3
2023-02-20,477.9
2023-02-21,476.2
2023-02-22,484.8
2023-02-23,416.4
2023-02-24,451.4
2023-02-25,595.3
2023-02-26,594.0
2023-02-27,371.1
2023-02-28,447.2
2023-03-01,486.2
2023-03-02,531.7
2023-03-03,568.5
2023-03-04,524.3
2023-03-05,431.0
2023-03-06,496.4
2023-03-07,615.4
2023-03-08,512.6
2023-03-09,400.2
2023-03-10,566.8
2023-03-11,538.3
2023-03-12,619.4
2023-03-13,524.3
2023-03-14,551.4
2023-03-15,495.8
2023-03-16,434.9
2023-03-17,466.8
2023-03-18,507.5
2023-03-19,422.8
2023-03-20,525.5
2023-03-21,579.2
2023-03-22,445.4
2023-03-23,534.2
2023-03-24,471.8
2023-03-25,486.1
2023-03-26,636.5
2023-03-27,450.3
2023-03-28,405.6
2023-03-29,512.6
2023-03-30,513.8
2023-03-31,525.2
2023-04-01,345.7
2023-04-02,639.8
2023-04-03,490.6
2023-04-04,606.6
2023-04-05,453.3
2023-04-06,518.1
2023-04-07,535.2
2023-04-08,606.5
2023-04-09,456.0
2023-04-10,514.9
2023-04-11,448.2
2023-04-12,532.0
2023-04-13,415.6
2023-04-14,447.4
2023-04-15,580.9
2023-04-16,502.2
2023-04-17,577.7
2023-04-18,562.8
2023-04-19,539.7
2023-04-20,488.5
2023-04-21,609.9
2023-04-22,354.8
2023-04-23,669.2
2023-04-24,327.8
2023-04-25,512.9
2023-04-26,453.2
2023-04-27,451.7
2023-04-28,413.1
2023-04-29,465.9
2023-04-30,657.6
2023-05-01,529.4
2023-05-02,506.8
2023-05-03,524.2
2023-05-04,507.6
2023-05-05,617.9
2023-05-06,516.2
2023-05-07,535.1
2023-05-08,570.6
2023-05-09,463.2
2023-05-10,442.9
2023-05-11,486.6
2023-05-12,446.4
2023-05-13,417.8
2023-05-14,411.7
2023-05-15,626.5
2023-05-16,415.4
2023-05-17,482.0
2023-05-18,449.2
2023-05-19,503.6
2023-05-20,498.7
2023-05-21,525.5
2023-05-22,640.0
2023-05-23,499.3
2023-05-24,590.7
2023-05-25,468.7
2023-05-26,639.3
2023-05-27,634.8
2023-05-28,592.5
2023-05-29,589.7
2023-05-30,495.1
2023-05-31,518.8
2023-06-01,530.0
2023-06-02,487.1
2023-06-03,462.9
2023-06-04,525.8
2023-06-05,397.7
2023-06-06,536.2
2023-06-07,550.9
2023-06-08,525.6
2023-06-09,418.9
2023-06-10,543.0
2023-06-11,558.4
2023-06-12,584.4
2023-06-13,485.1
2023-06-14,467.1
2023-06-15,552.0
2023-06-16,587.2
2023-06-17,379.5
2023-06-18,594.6
2023-06-19,585.6
2023-06-20,460.6
2023-06-21,488.0
2023-06-22,506.6
2023-06-23,534.1
2023-06-24,402.0
2023-06-25,541.7
2023-06-26,520.9
2023-06-27,470.3
2023-06-28,564.6
2023-06-29,464.5
2023-06-30,414.8
2023-07-01,421.8
2023-07-02,383.3
2023-07-03,454.0
2023-07-04,573.1
2023-07-05,412.1
2023-07-06,579.2
2023-07-07,509.6
2023-07-08,491.7
2023-07-09,295.2
2023-07-10,396.9
2023-07-11,500.9
2023-07-12,461.2
2023-07-13,525.7
2023-07-14,397.3
2023-07-15,577.1
2023-07-16,423.4
2023-07-17,341.7
2023-07-18,600.4
2023-07-19,496.1
