Date,Price
2023-03-01,971.8
2023-03-02,1366.1
2023-03-03,858.9
2023-03-04,1092.1
2023-03-05,1110.3
2023-03-06,1145.9
2023-03-07,1038.9
2023-03-08,988.9
2023-03-09,973.3
2023-03-10,874.2
2023-03-11,976.6
2023-03-12,948.7
2023-03-13,1122.8
2023-03-14,986.1
2023-03-15,1076.2
2023-03-16,736.9
2023-03-17,945.3
2023-03-18,995.4
2023-03-19,981.1
2023-03-20,1044.9
2023-03-21,1273.3
2023-03-22,1212.6
2023-03-23,931.4
2023-03-24,1129.0
2023-03-25,1042.7
2023-03-26,1076.6
2023-03-27,1236.7
2023-03-28,1024.2
2023-03-29,1107.7
2023-03-30,879.1
2023-03-31,910.3
2023-04-01,1198.6
2023-04-02,1170.6
2023-04-03,926.8
2023-04-04,1052.2
2023-04-05,854.4
2023-04-06,968.2
2023-04-07,1063.5
2023-04-08,1015.6
2023-04-09,1007.6
2023-04-10,899.3
2023-04-11,1040.8
2023-04-12,1001.1
2023-04-13,1049.0
2023-04-14,1005.4
2023-04-15,821.0
2023-04-16,976.3
2023-04-17,1002.0
2023-04-18,929.1
2023-04-19,968.8
2023-04-20,1216.2
2023-04-21,749.3
2023-04-22,1081.7
2023-04-23,1189.2
2023-04-24,1144.4
2023-04-25,958.0
2023-04-26,965.4
2023-04-27,1067.8
2023-04-28,946.9
2023-04-29,1051.0
2023-04-30,1095.4
2023-05-01,1112.5
2023-05-02,1202.6
2023-05-03,956.7
2023-05-04,1013.1
2023-05-05,987.4
2023-05-06,850.1
2023-05-07,1015.2
2023-05-08,1044.6
2023-05-09,1042.0
2023-05-10,804.8
2023-05-11,984.0
2023-05-12,899.3
2023-05-13,929.4
2023-05-14,1159.1
2023-05-15,1030.6
2023-05-16,1062.9
2023-05-17,1239.7
2023-05-18,1032.3
2023-05-19,1277.1
2023-05-20,731.3
2023-05-21,954.0
2023-05-22,823.8
2023-05-23,1120.7
2023-05-24,1141.6
2023-05-25,943.3
2023-05-26,1219.7
2023-05-27,803.9
2023-05-28,945.3
2023-05-29,955.7
2023-05-30,813.1
2023-05-31,891.1
2023-06-01,744.6
2023-06-02,1047.9
2023-06-03,1038.9
2023-06-04,951.7
2023-06-05,1043.4
2023-06-06,1227.2
2023-06-07,1276.4
2023-06-08,1169.4
2023-06-09,1103.9
2023-06-10,1165.9
2023-06-11,914.3
2023-06-12,965.5
2023-06-13,1269.0
2023-06-14,967.3
2023-06-15,836.6
2023-06-16,1158.2
2023-06-17,1081.0
2023-06-18,1145.2
2023-06-19,1110.7
2023-06-20,869.2
2023-06-21,800.5
2023-06-22,1030.1
2023-06-23,984.6
2023-06-24,1135.9
2023-06-25,1038.3
2023-06-26,976.4
2023-06-27,1025.7
2023-06-28,950.5
2023-06-29,919.8
2023-06-30,967.6
2023-07-01,811.8
2023-07-02,937.3
2023-07-03,986.6
2023-07-04,1211.9
2023-07-05,875.3
2023-07-06,999.2
2023-07-07,901.3
2023-07-08,1012.8
2023-07-09,1133.0
2023-07-10,1001.2
2023-07-11,1041.5
2023-07-12,1341.8
2023-07-13,928.2
2023-07-14,782.9
2023-07-15,734.1
2023-07-16,1135.1
2023-07-17,1034.5
2023-07-18,870.5
2023-07-19,925.2
2023-07-20,1169.9
2023-07-21,1227.7
2023-07-22,1192.0
2023-07-23,1288.4
2023-07-24,888.1
2023-07-25,1102.7
2023-07-26,1147.1
2023-07-27,1019.5
2023-07-28,1063.3
2023-07-29,1103.3
2023-07-30,1157.1
2023-07-31,1125.2
2023-08-01,872.1
2023-08-02,1067.8
2023-08-03,1093.0
2023-08-04,831.6
2023-08-05,925.2
2023-08-06,990.6
2023-08-07,1016.9
2023-08-08,1233.8
2023-08-09,686.6
2023-08-10,1090.1
2023-08-11,1114.0
2023-08-12,1013.0
2023-08-13,867.0
2023-08-14,1098.4
2023-08-15,1003.1
2023-08-16,1021.7
2023-08-17,786.2
2023-08-18,888.1
2023-08-19,929.7
2023-08-20,1101.4
2023-08-21,1190.1
2023-08-22,938.9
2023-08-23,1176.1
2023-08-24,970.4
2023-08-25,792.5
2023-08-26,1112.6
2023-08-27,998.7
2023-08-28,1181.8
2023-08-29,1473.7
2023-08-30,844.4
2023-08-31,1019.8
2023-09-01,884.9
2023-09-02,916.0
2023-09-03,1229.5
2023-09-04,1028.0
2023-09-05,1055.8
2023-09-06,1082.6
2023-09-07,1191.8
2023-09-08,851.5
2023-09-09,1148.2
2023-09-10,1239.9
2023-09-11,1306.2
2023-09-12,1118.6
2023-09-13,1141.7
2023-09-14,832.7
2023-09-15,879.9
2023-09-16,907.8
2023-09-17,1081.8
2023-09-18,1510.6
2023-09-19,709.9
2023-09-20,787.3
2023-09-21,1070.8
2023-09-22,1018.0
2023-09-23,905.6
2023-09-24,859.1
2023-09-25,1236.5
2023-09-26,1107.6
