Week,Visitors
2023-01-01,1065.7
2023-01-08,840.8
2023-01-15,1280.6
2023-01-22,690.4
2023-01-29,1233.3
2023-02-05,1229.5
2023-02-12,1026.0
2023-02-19,1086.3
2023-02-26,826.3
2023-03-05,1005.4
2023-03-12,696.3
2023-03-19,836.9
2023-03-26,955.3
2023-04-02,473.8
2023-04-09,1009.4
2023-04-16,924.6
2023-04-23,967.4
2023-04-30,851.0
2023-05-07,1213.9
2023-05-14,853.1
2023-05-21,706.5
2023-05-28,1358.8
2023-06-04,667.7
2023-06-11,988.2
2023-06-18,1048.6
2023-06-25,1315.6
2023-07-02,1313.3
2023-07-09,751.3
2023-07-16,1107.5
2023-07-23,831.2
2023-07-30,1020.9
2023-08-06,903.6
2023-08-13,870.3
2023-08-20,846.7
2023-08-27,1313.0
2023-09-03,852.3
2023-09-10,1042.4
2023-09-17,1031.4
2023-09-24,863.0
2023-10-01,1112.6
2023-10-08,913.3
2023-10-15,1148.4
2023-10-22,993.5
2023-10-29,1196.3
2023-11-05,1182.2
2023-11-12,996.1
2023-11-19,1137.4
2023-11-26,1232.0
2023-12-03,1226.6
2023-12-10,933.6
2023-12-17,864.8
2023-12-24,970.4
2023-12-31,784.4
2024-01-07,1087.8
2024-01-14,939.4
2024-01-21,1084.4
2024-01-28,1022.1
2024-02-04,836.6
2024-02-11,1023.4
2024-02-18,1387.1
2024-02-25,1017.4
2024-03-03,962.4
2024-03-10,1154.9
2024-03-17,1156.1
2024-03-24,549.8
2024-03-31,918.0
2024-04-07,908.5
2024-04-14,536.3
2024-04-21,1110.5
2024-04-28,919.6
2024-05-05,690.5
2024-05-12,1095.3
2024-05-19,949.6
2024-05-26,945.3
2024-06-02,768.3
2024-06-09,863.2
2024-06-16,1250.9
2024-06-23,910.8
2024-06-30,1012.8
2024-07-07,694.5
2024-07-14,1209.7
2024-07-21,1170.1
2024-07-28,1326.9
2024-08-04,949.8
2024-08-11,1140.1
2024-08-18,777.4
2024-08-25,1222.5
2024-09-01,1255.6
2024-09-08,1198.1
2024-09-15,1230.2
2024-09-22,1049.4
2024-09-29,903.1
2024-10-06,628.8
2024-10-13,999.2
2024-10-20,768.1
2024-10-27,1386.4
2024-11-03,1129.0
2024-11-10,767.3
2024-11-17,713.4
2024-11-24,895.2
2024-12-01,960.7
2024-12-08,974.9
2024-12-15,1139.7
2024-12-22,1178.9
2024-12-29,971.0
2025-01-05,1048.6
2025-01-12,838.2
2025-01-19,1012.2
2025-01-26,943.4
2025-02-02,1126.7
2025-02-09,629.2
2025-02-16,905.9
2025-02-23,1078.3
2025-03-02,905.3
2025-03-09,1169.7
2025-03-16,1045.6
2025-03-23,924.0
2025-03-30,1151.6
2025-04-06,1201.5
2025-04-13,1378.7
2025-04-20,1204.7
2025-04-27,1174.6
2025-05-04,1059.3
2025-05-11,1127.2
2025-05-18,973.2
2025-05-25,428.9
2025-06-01,949.6
2025-06-08,858.1
2025-06-15,1232.2
2025-06-22,968.5
2025-06-29,1269.8
2025-07-06,532.1
2025-07-13,995.7
2025-07-20,1386.3
2025-07-27,862.8
2025-08-03,1193.3
2025-08-10,826.5
2025-08-17,1133.3
2025-08-24,1308.6
2025-08-31,598.7
2025-09-07,737.0
2025-09-14,842.8
2025-09-21,1223.4
2025-09-28,1031.8
2025-10-05,1093.7
2025-10-12,1059.1
2025-10-19,1085.0
2025-10-26,1138.8
2025-11-02,795.6
2025-11-09,765.3
2025-11-16,970.3
2025-11-23,949.0
2025-11-30,713.2
2025-12-07,967.8
2025-12-14,940.3
2025-12-21,1120.1
2025-12-28,1228.1
2026-01-04,651.7
2026-01-11,777.0
2026-01-18,1092.8
2026-01-25,767.6
2026-02-01,1042.7
2026-02-08,731.5
2026-02-15,1147.1
2026-02-22,1169.0
2026-03-01,1117.5
2026-03-08,1059.5
2026-03-15,1186.4
2026-03-22,1318.0
2026-03-29,1007.3
2026-04-05,1196.7
2026-04-12,1134.2
2026-04-19,1008.0
2026-04-26,1036.1
2026-05-03,889.1
2026-05-10,1214.9
2026-05-17,1217.2
2026-05-24,809.3
2026-05-31,840.2
2026-06-07,1280.6
2026-06-14,1336.4
2026-06-21,905.8
2026-06-28,1129.6
2026-07-05,823.4
2026-07-12,950.3
2026-07-19,927.1
2026-07-26,1107.1
2026-08-02,881.1
2026-08-09,995.3
2026-08-16,982.1
2026-08-23,1166.4
2026-08-30,1060.2
2026-09-06,998.7
2026-09-13,1138.0
2026-09-20,1081.1
2026-09-27,879.0
2026-10-04,725.1
2026-10-11,1102.0
2026-10-18,969.0
2026-10-25,1315.2
2026-11-01,1216.2
2026-11-08,914.7
2026-11-15,909.4
2026-11-22,1322.4
2026-11-29,984.1
2026-12-06,960.9
2026-12-13,704.9
2026-12-20,854.2
2026-12-27,1282.5
2027-01-03,1345.2
2027-01-10,1212.7
2027-01-17,915.4
2027-01-24,1111.1
2027-01-31,893.0
2027-02-07,1427.7
2027-02-14,1215.0
2027-02-21,967.4
2027-02-28,1116.3
2027-03-07,1037.6
2027-03-14,1098.3
